worldtime,System_State,State_Machine,Reed_Timestamp0,Reed_Timestamp1,Reed_Timestamp2,Reed_Timestamp3,Device_Timestamp0,Device_Timestamp1,Device_Timestamp2,Device_Timestamp3,GM-302BLo,GM-302BHi,GM-502BLo,GM-502BHi,MQ137Lo,MQ137Hi,crc
2024-02-29 22:03:36.102232 ,16,4,0,0,0,0,181,142,224,101,187,7,225,9,30,2,60
2024-02-29 22:03:40.113259 ,16,4,0,0,0,0,185,142,224,101,178,7,217,9,28,2,135
2024-02-29 22:03:44.127773 ,16,4,0,0,0,0,189,142,224,101,170,7,210,9,27,2,16
2024-02-29 22:03:48.143740 ,16,4,0,0,0,0,193,142,224,101,162,7,203,9,26,2,146
2024-02-29 22:03:52.156458 ,16,4,0,0,0,0,197,142,224,101,154,7,196,9,25,2,50
2024-02-29 22:03:56.172428 ,16,4,0,0,0,0,200,142,224,101,146,7,189,9,24,2,122
2024-02-29 22:04:00.188409 ,16,4,0,0,0,0,204,142,224,101,139,7,182,9,24,2,175
2024-02-29 22:04:04.204387 ,16,4,0,0,0,0,208,142,224,101,132,7,176,9,24,2,55
2024-02-29 22:04:08.220364 ,24,4,210,142,224,101,212,142,224,101,125,7,170,9,23,2,253
2024-02-29 22:04:12.232398 ,24,4,210,142,224,101,216,142,224,101,118,7,165,9,52,2,100
2024-02-29 22:04:16.238423 ,24,4,210,142,224,101,220,142,224,101,113,7,160,9,36,2,5
2024-02-29 22:04:20.244761 ,24,4,210,142,224,101,224,142,224,101,106,7,154,9,27,2,255
2024-02-29 22:04:24.250772 ,24,4,210,142,224,101,228,142,224,101,99,7,149,9,27,2,236
2024-02-29 22:04:28.256468 ,24,4,210,142,224,101,232,142,224,101,93,7,143,9,28,2,142
2024-02-29 22:04:32.274663 ,24,4,210,142,224,101,236,142,224,101,88,7,138,9,27,2,129
2024-02-29 22:04:36.290645 ,24,4,210,142,224,101,240,142,224,101,83,7,134,9,26,2,52
2024-02-29 22:04:40.306616 ,24,4,210,142,224,101,244,142,224,101,77,7,130,9,25,2,211
2024-02-29 22:04:44.322597 ,24,4,210,142,224,101,248,142,224,101,72,7,125,9,25,2,97
2024-02-29 22:04:48.338585 ,24,4,210,142,224,101,251,142,224,101,68,7,121,9,24,2,127
2024-02-29 22:04:52.354570 ,24,4,210,142,224,101,255,142,224,101,63,7,117,9,24,2,215
2024-02-29 22:04:56.373399 ,24,4,210,142,224,101,3,143,224,101,58,7,113,9,24,2,238
2024-02-29 22:05:00.389788 ,24,4,210,142,224,101,7,143,224,101,53,7,109,9,24,2,86
2024-02-29 22:05:04.406337 ,24,4,210,142,224,101,11,143,224,101,49,7,105,9,23,2,135
2024-02-29 22:05:08.422959 ,24,4,210,142,224,101,15,143,224,101,45,7,101,9,21,2,151
2024-02-29 22:05:12.439575 ,24,4,210,142,224,101,19,143,224,101,41,7,98,9,20,2,56
2024-02-29 22:05:16.450205 ,24,4,210,142,224,101,23,143,224,101,38,7,95,9,20,2,88
2024-02-29 22:05:20.456584 ,24,4,210,142,224,101,27,143,224,101,34,7,92,9,20,2,40
2024-02-29 22:05:24.467844 ,24,4,210,142,224,101,31,143,224,101,30,7,89,9,19,2,228
2024-02-29 22:05:28.483824 ,24,4,210,142,224,101,35,143,224,101,27,7,86,9,18,2,241
2024-02-29 22:05:32.496448 ,24,4,210,142,224,101,39,143,224,101,24,7,83,9,18,2,99
2024-02-29 22:05:36.512438 ,24,4,210,142,224,101,42,143,224,101,20,7,80,9,17,2,11
2024-02-29 22:05:40.528415 ,24,4,210,142,224,101,46,143,224,101,18,7,78,9,16,2,236
2024-02-29 22:05:44.544402 ,24,4,210,142,224,101,50,143,224,101,15,7,75,9,16,2,130
2024-02-29 22:05:48.560388 ,24,4,210,142,224,101,54,143,224,101,12,7,73,9,15,2,230
2024-02-29 22:05:52.572455 ,24,4,210,142,224,101,58,143,224,101,9,7,70,9,14,2,66
2024-02-29 22:05:56.590489 ,24,4,210,142,224,101,62,143,224,101,6,7,67,9,14,2,59
2024-02-29 22:06:00.606452 ,24,4,210,142,224,101,66,143,224,101,4,7,65,9,14,2,92
2024-02-29 22:06:04.622468 ,24,4,210,142,224,101,70,143,224,101,1,7,62,9,14,2,150
2024-02-29 22:06:08.638440 ,24,4,210,142,224,101,74,143,224,101,254,6,60,9,13,2,166
2024-02-29 22:06:12.654402 ,24,4,210,142,224,101,78,143,224,101,251,6,57,9,13,2,194
2024-02-29 22:06:16.670365 ,24,4,210,142,224,101,82,143,224,101,249,6,55,9,13,2,40
